query	CM039579.1	100.000	60	0	0	1	60	1	60	1.91e-23	111
query	JAKOGQ010000377.1	94.444	54	2	1	4	56	253692	253639	1.50e-14	82.4
query	CM039593.1	94.444	54	2	1	4	56	175288	175235	1.50e-14	82.4
query	CM039593.1	94.444	54	2	1	4	56	180436	180383	1.50e-14	82.4
query	CM039593.1	94.444	54	2	1	4	56	181982	181929	1.50e-14	82.4
query	CM039593.1	92.593	54	3	1	4	56	210627	210574	6.98e-13	76.8
query	CM039593.1	92.593	54	3	1	4	56	219264	219211	6.98e-13	76.8
query	CM039593.1	92.593	54	3	1	4	56	222356	222303	6.98e-13	76.8
query	CM039591.1	94.444	54	2	1	4	56	211897	211950	1.50e-14	82.4
query	CM039591.1	95.833	48	2	0	4	51	270475	270522	1.94e-13	78.7
